p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.7438820213798556e-4,0.32917864755578763,0.156,0.102,1,IEG-High Microglia,Rab11b
4.7734824469303905e-4,0.5572187800328265,0.106,0.064,1,IEG-High Microglia,Tspan18
4.914954389434695e-4,0.2896355912919698,0.193,0.131,1,IEG-High Microglia,Tpcn1
5.024170203196166e-4,0.36994475379417124,0.173,0.116,1,IEG-High Microglia,Sh2b2
5.409516066475016e-4,0.45136030120343795,0.141,0.09,1,IEG-High Microglia,Rassf1
5.48322937025447e-4,0.29764946286002725,0.366,0.285,1,IEG-High Microglia,Ndfip1
5.724870633100244e-4,0.308710231315879,0.182,0.124,1,IEG-High Microglia,Rbfox1
5.758096955123288e-4,0.27279911224556597,0.329,0.249,1,IEG-High Microglia,Heca
5.970383454172557e-4,0.490731776332499,0.102,0.061,1,IEG-High Microglia,Rest
6.06510561712578e-4,0.3570441296768325,0.201,0.139,1,IEG-High Microglia,Rragc
6.368761603214118e-4,0.26299085745252815,0.435,0.341,1,IEG-High Microglia,Tbl1x
6.452647486970193e-4,0.2759948105361185,0.195,0.134,1,IEG-High Microglia,Cdk9
6.47098572939058e-4,0.5232480560714434,0.123,0.078,1,IEG-High Microglia,Uhrf1bp1
6.556424092884092e-4,0.289634644459719,0.152,0.099,1,IEG-High Microglia,Mtmr1
6.574724987600016e-4,0.4339600475790221,0.143,0.093,1,IEG-High Microglia,Mpp7
6.623345870301868e-4,0.3755250978761506,0.11,0.067,1,IEG-High Microglia,Tfdp2
7.37744582335748e-4,0.4494041959287802,0.108,0.066,1,IEG-High Microglia,Zcchc4
7.442572446874839e-4,0.3064923364221891,0.171,0.115,1,IEG-High Microglia,Naip6
7.443298978329837e-4,0.3388496994837821,0.338,0.252,1,IEG-High Microglia,Tgfb1
8.131694210545827e-4,0.32718822581392576,0.152,0.1,1,IEG-High Microglia,Glcci1
8.438412695862264e-4,0.27791341061640906,0.177,0.121,1,IEG-High Microglia,Daam1
8.454009407791967e-4,0.26516568908386984,0.149,0.098,1,IEG-High Microglia,Tk2
8.472863662553913e-4,0.33382949706922954,0.299,0.226,1,IEG-High Microglia,Kdm2b
8.770640423021065e-4,0.3700340955779515,0.141,0.092,1,IEG-High Microglia,Zfp869
8.791421204720793e-4,0.3906507368251626,0.16,0.109,1,IEG-High Microglia,Arhgap35
9.287836704790893e-4,0.36365009590824005,0.113,0.07,1,IEG-High Microglia,Dusp3
9.338553899819291e-4,0.31915228608680324,0.1,0.06,1,IEG-High Microglia,Mier3
9.919526083243283e-4,0.32951490196180766,0.152,0.101,1,IEG-High Microglia,Sh3bp1
9.968810066802408e-4,0.32543869343591825,0.162,0.109,1,IEG-High Microglia,Pknox1
0.0010026409572693009,0.5160291973192136,0.145,0.097,1,IEG-High Microglia,Npl
0.0010152128645710622,0.3287152848041621,0.1,0.06,1,IEG-High Microglia,Tmem11
0.001038632615850136,0.2949097892037466,0.294,0.223,1,IEG-High Microglia,Bach1
0.0012172961841496808,0.28814108453879617,0.199,0.142,1,IEG-High Microglia,Pcnx
0.001232759415253451,0.2668230289243311,0.139,0.091,1,IEG-High Microglia,Akirin1
0.0012399617279821198,0.254660915565711,0.18,0.123,1,IEG-High Microglia,Trappc10
0.0012504157657000183,0.4211966493103845,0.208,0.15,1,IEG-High Microglia,Camsap2
0.0012864077520714353,0.417620119157033,0.134,0.088,1,IEG-High Microglia,Cpeb3
0.0013043797547861277,0.3324055135235769,0.186,0.13,1,IEG-High Microglia,Mast2
0.0013170675430025265,0.4138665620804056,0.1,0.061,1,IEG-High Microglia,Babam1
0.001322733137620557,0.4508820780592637,0.145,0.097,1,IEG-High Microglia,Pofut1
0.0013746550680738634,0.39155297987631155,0.149,0.101,1,IEG-High Microglia,Mcu
0.0013893922018963847,0.27980444269849386,0.236,0.173,1,IEG-High Microglia,Sncaip
0.0014172239980486123,0.25269301035616376,0.227,0.162,1,IEG-High Microglia,Il1rl2
0.0014982408412512517,0.33920063788686994,0.143,0.095,1,IEG-High Microglia,Ndufaf7
0.0015139194852201723,0.2948559824565033,0.162,0.111,1,IEG-High Microglia,Vps33a
0.0015145669163127917,0.5015803164418695,0.123,0.081,1,IEG-High Microglia,Shb
0.0015353159514450048,0.32723424418083,0.13,0.085,1,IEG-High Microglia,Ywhag
0.001541751576604138,0.45498163392285984,0.102,0.063,1,IEG-High Microglia,2900089D17Rik
0.0016263775051754967,0.418661554249956,0.119,0.077,1,IEG-High Microglia,Asah2
0.0016379305857894236,0.42260284098380674,0.1,0.061,1,IEG-High Microglia,Nars2
0.001663094376655293,0.2930825418325398,0.128,0.083,1,IEG-High Microglia,Lrpap1
0.0017016032841197855,0.35042584368260843,0.113,0.071,1,IEG-High Microglia,Ptpn11
0.001827693201895349,0.2618396911592515,0.203,0.145,1,IEG-High Microglia,Pex14
0.0018291351223102712,0.4222560206554373,0.141,0.094,1,IEG-High Microglia,Prmt3
0.0018376185287114404,0.6012353957731289,0.117,0.076,1,IEG-High Microglia,Washc5
0.001860941253502018,0.29938175375840853,0.186,0.131,1,IEG-High Microglia,Nav1
0.0018890671851280873,0.30425732929056726,0.104,0.065,1,IEG-High Microglia,Inpp5a
0.001906151214979181,0.26796829746514383,0.171,0.119,1,IEG-High Microglia,Tm9sf4
0.001966975733044381,0.2654001630448013,0.281,0.212,1,IEG-High Microglia,Mef2d
