"log2foldchange","p.value","FDR","gene"
0.42428981251704,0.0827076700010184,0.304437663083273,"Olfr635"
0.584962500721156,0.418341582845051,0.610180818117266,"Olfr639"
0.55281197711745,0.115847057744698,0.339929291003918,"Olfr64"
0.422233000683048,0.0570272335867253,0.273498913211841,"Olfr640"
0.56923814842814,0.147134699988027,0.373202399131002,"Olfr641"
0.457279947782248,0.16914301828752,0.39504304797654,"Olfr642"
0.186768511605726,0.530724483046204,0.693028202431369,"Olfr643"
0.383328639551505,0.392682956570013,0.590430950066506,"Olfr644"
0.299560281858908,0.0361508670069798,0.243353265587969,"Olfr645"
0.843880798082718,0.00158343281688615,0.174888157011517,"Olfr646"
0.447458976971221,0.108996094149088,0.332620174331808,"Olfr648"
0.44930740136359,0.099670047202932,0.322202068126466,"Olfr649"
0.0567860260915776,0.298695439184713,0.51171973541068,"Olfr65"
0.393481355912397,0.0594069521861568,0.275453042170345,"Olfr651"
0.44930740136359,0.0943117864071003,0.316571696697248,"Olfr652"
0.453717967442903,0.142558910422858,0.369011478266552,"Olfr653"
0.362570079384708,0.104190818863388,0.327049576176329,"Olfr654"
0.102615066482886,0.224414920085846,0.448776006638913,"Olfr655"
0.624490864907794,0.0983109479974728,0.32068308666685,"Olfr656"
0.290219235160024,0.317933588501143,0.52919267595681,"Olfr658"
0.412125903858941,0.0322115039286979,0.235500825539352,"Olfr659"
0.182525038221946,0.452203123173655,0.634756961169574,"Olfr66"
0.471504450937872,0.0576750973038044,0.273696981375153,"Olfr661"
0.536432606793497,0.557644230609408,0.71197276184362,"Olfr663"
0.363150757613876,0.362257665506604,0.566412431960744,"Olfr665"
0.478653598574816,0.0628381697451746,0.27943317987373,"Olfr666"
0.364996816779248,0.334290911741099,0.542519637095907,"Olfr667"
0.391190757324476,0.0882006871344639,0.310072019004454,"Olfr668"
0.271302021817394,0.0520517752783561,0.266852246990482,"Olfr669"
0.412125903858941,0.0660012190525349,0.283114736643562,"Olfr67"
0.473931188332412,0.324932553633634,0.534467998981098,"Olfr670"
0.422233000683048,0.781917190276622,0.868978218832537,"Olfr672"
0.439983856409075,0.144146645077607,0.370471910523907,"Olfr675"
0.369233809665719,0.362905854737423,0.566833082489115,"Olfr676"
0.168681834591681,0.454535516504834,0.636428002237211,"Olfr677"
0.136573052875444,0.988254571788251,0.995237431762233,"Olfr678"
0.445663463309607,0.0369064153363544,0.243912869099276,"Olfr679"
0.436570660828485,0.178590758232689,0.404286183132157,"Olfr68"
-0.0500406824995956,0.829943951796832,0.900741649854203,"Olfr683"
0.607330313749611,0.0431681267588008,0.25567027208598,"Olfr684"
0.423807708906576,0.576056358023631,0.72628289135778,"Olfr685"
