"Pathway","IFN_Responsive_Microglia_UP","Infiltrating_Macrophages_UP","Transiently_Activated_Microglia_UP","Homeostatic_Microglia_UP","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","Infiltrating_Macrophages_DOWN","Cluster"
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell [Reactome]",1.44624713338828,2.86365776342169,0,0,0,0,0,5
"response to exogenous dsRNA [GO_BP]",1.74731404086451,2.1621801254746,0,1.93241818598991,0,0,0,5
"positive regulation of viral process [GO_BP]",2.04808385935218,1.41262783547054,0,1.56904449313524,0,0,0,5
"regulation of DNA-binding transcription factor activity [GO_BP]",3.88638341789132,2.31280390419202,0,1.59183040087535,0,0,0,5
"Chemokine signaling pathway - Mus musculus (house mouse) [KEGG]",2.80283602807798,1.47375395546722,0,1.7361428439041,0,0,0,5
"response to dsRNA [GO_BP]",3.05428111223021,1.91942621701136,0,1.83764428384083,0,0,0,5
"regulation of defense response to virus by host [GO_BP]",2.89397883806574,1.83164081489055,0,1.79064856221608,0,0,0,5
"regulation of hemopoiesis [GO_BP]",4.22574627084258,2.2685874203219,1.54494383389938,0,0,0,0,5
"lymphocyte differentiation [GO_BP]",4.80217394312612,1.60278580759947,0,0,0,0,0,5
"mononuclear cell differentiation [GO_BP]",5.16869660950889,1.41643101088508,0,0,0,0,0,5
"regulation of autophagy [GO_BP]",4.40040373571553,1.30792475411237,0,0,0,0,0,5
"adhesion of symbiont to host [GO_BP]",4.37534878959761,1.76895189210162,0,0,0,0,0,5
"negative regulation of type I interferon production [GO_BP]",4.4943577577946,1.76703379859077,0,0,0,0,0,5
"positive regulation of T cell differentiation [GO_BP]",2.6316440708854,2.2866675844128,0,0,0,0,0,5
"Nicotinamide salvaging [Reactome]",3.23639172287797,2.22597345552906,0,0,0,0,0,5
"biological process involved in symbiotic interaction [GO_BP]",2.96298250346101,2.33537506944349,0,0,0,0,0,5
"Measles - Mus musculus (house mouse) [KEGG]",2.85880805237022,1.92983717385056,0,0,0,0,0,5
"cellular senescence [GO_BP]",2.72186396595919,1.87801457032683,0,0,0,0,0,5
"regulation of Fc receptor mediated stimulatory signaling pathway [GO_BP]",2.84200963523283,1.65378731085589,0,0,0,0,0,5
"negative regulation of NLRP3 inflammasome complex assembly [GO_BP]",2.84200963523283,1.65378731085589,0,0,0,0,0,5
"regulation of cellular senescence [GO_BP]",2.73321616054588,1.76703379859077,0,0,0,0,0,5
