names,scores,logfoldchanges,pvals,pvals_adj
Rbm6,2.186726,0.6135799,0.028762529630412925,1.0
Cltc,2.1847537,0.52029246,0.028906914520931897,1.0
Adgrl2,2.1808088,1.6494918,0.02919755700162136,1.0
Cmah,2.1801515,1.4326502,0.0292462410917433,1.0
Blnk,2.1775215,0.8288926,0.029441676567364343,1.0
Hexa,2.1689744,0.6015296,0.030084619661704757,1.0
Zbtb16,2.1485932,1.2264812,0.03166666815841852,1.0
Kif13a,2.1459632,1.0248624,0.03187591039619151,1.0
Tbc1d9b,2.1453059,1.033845,0.031928405784403695,1.0
St8sia4,2.1433334,0.74565774,0.032086336846277604,1.0
Rasa1,2.1367588,0.60794795,0.032617618310354944,1.0
Glul,2.1341288,0.8393131,0.03283223084277676,1.0
Ldlrad4,2.132814,0.58469737,0.03293998973645413,1.0
Cul5,2.131499,1.2457619,0.03304805126383773,1.0
Rpl10,2.1249244,0.72305584,0.033592921624242475,1.0
Golm1,2.1209795,1.1952798,0.033923517973161926,1.0
Itgav,2.1196647,0.7122707,0.034034333115960345,1.0
Dock8,2.098626,0.44923598,0.03584989749627912,1.0
Abcd2,2.084819,0.9048064,0.037085725954605527,1.0
Tnrc6b,2.0690398,0.5974078,0.03854233890159728,1.0
Ncor1,2.0657525,0.490828,0.03885184404463412,1.0
Igf1,2.0657525,1.2410285,0.03885184404463412,1.0
Ppp1r10,2.0644376,1.0358161,0.03897623598965854,1.0
Rps6ka5,2.060493,0.995476,0.039351443426337306,1.0
Rmdn1,2.0585206,1.0680549,0.039540194274804846,1.0
Smurf2,2.0572057,0.58148706,0.03966645465220215,1.0
Dse,2.0526032,0.5842897,0.04011106391528005,1.0
Slc25a36,2.0447137,0.87834096,0.04088308589998712,1.0
Zfp704,2.0401115,0.8567259,0.04133922019167405,1.0
Hnrnpa2b1,2.0387967,0.47617558,0.04147033325223957,1.0
Ubn2,2.038139,0.60499305,0.041536021726037785,1.0
Plek,2.0361667,0.5839142,0.04173361599675911,1.0
Numb,2.0282772,0.64109606,0.042531968924700944,1.0
Spred2,2.0276196,1.7148861,0.04259907748818415,1.0
Bcas3,2.02236,0.8565292,0.04313917635394238,1.0
Ifitm10,2.021045,1.3021901,0.043275101710134406,1.0
Ubn1,2.01973,0.9831643,0.04341138877235028,1.0
Rftn1,2.0171003,0.78299236,0.04368505092053236,1.0
Olfml3,2.0157855,0.82766443,0.043822427461026735,1.0
Bptf,2.0059233,0.6697223,0.0448644240262929,1.0
Insr,2.005266,0.72116154,0.04493462724299648,1.0
Arl15,2.0019786,0.90179783,0.045287034406763814,1.0
Top2b,2.0006638,0.8471334,0.045428648157597486,1.0
Ypel3,1.9861995,1.5622646,0.04701118226688057,1.0
Fyb,1.9855419,0.44082037,0.04708420405150674,1.0
Arhgef1,1.9789673,0.8572323,0.04781968350812894,1.0
Lyve1,1.9763374,1.0518494,0.04811656697073088,1.0
Rpl35a,1.9691054,0.57595944,0.04894099155150713,1.0
Slc3a2,1.9691054,0.60501856,0.04894099155150713,1.0
Timp2,1.9671329,1.1027751,0.049167881527150924,1.0
Ndfip1,1.9605583,0.65737665,0.04993056595753299,1.0
Arhgap31,1.9605583,0.72773695,0.04993056595753299,1.0
Tgfbr1,1.9592434,0.4186544,0.05008428717278977,1.0
Sat1,1.9559561,0.55888677,0.050470326714047,1.0
Tmsb4x,1.9480665,0.33540002,0.05140700406346341,1.0
Man1c1,1.940177,0.6546092,0.05235818871340104,1.0
Snx30,1.9342598,0.72940296,0.053081196588391215,1.0
Rhobtb1,1.930315,0.9279105,0.05356782119313928,1.0
Dennd6a,1.9250553,0.7911157,0.05422244367298403,1.0
Gab3,1.9197955,0.88856864,0.054883728016695804,1.0
Zdhhc20,1.9112486,0.66026133,0.05597265072625937,1.0
Nr3c2,1.9053314,1.0839552,0.056737013264771485,1.0
Nlrc4,1.8994142,1.1349242,0.057510042103530105,1.0
Slc38a6,1.8980992,0.66964823,0.057683010321921156,1.0
Cep112,1.8961269,1.4123694,0.057943273351365426,1.0
Foxp1,1.8961269,0.5071762,0.057943273351365426,1.0
Il6ra,1.8895522,0.55057985,0.05881787455973556,1.0
Fchsd2,1.8842925,0.44706815,0.059525422601603366,1.0
Rreb1,1.88232,0.48845378,0.05979256728930464,1.0
5033421B08Rik,1.8777179,1.4322665,0.06041977372301866,1.0
Ddx5,1.8777179,0.30922052,0.06041977372301866,1.0
Tm6sf1,1.8770604,0.5989804,0.06050981823353287,1.0
Cd63,1.8770604,0.8267609,0.06050981823353287,1.0
Clta,1.865226,0.63522834,0.06214972868305036,1.0
Prune2,1.8645686,0.93388474,0.062241902682891884,1.0
Malat1,1.8632536,0.15392502,0.06242658997393751,1.0
Lifr,1.8599663,0.4806185,0.0628902920110277,1.0
Reps2,1.8527342,1.423456,0.063920464434689,1.0
Vps13b,1.8520768,0.3901941,0.0640148035624306,1.0
Ptpra,1.8461596,0.5196531,0.06486904011006223,1.0
Ifngr1,1.83827,0.6251088,0.06602263025245814,1.0
St7l,1.8343252,1.1244591,0.06660573426345999,1.0
Ftl1,1.8310379,0.45537123,0.0670948881597498,1.0
Pnpla7,1.829723,0.63138795,0.06729137591460113,1.0
Heca,1.8290654,1.0003273,0.06738979723326412,1.0
Lamp1,1.8277506,0.5040203,0.06758699525224551,1.0
Specc1,1.8270931,0.6553679,0.06768577215228917,1.0
