"Pathway","Infiltrating_Macrophages_UP","Homeostatic_Microglia_UP","Transiently_Activated_Microglia_UP","Infiltrating_Macrophages_DOWN","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","IFN_Responsive_Microglia_UP"
"cardiac muscle cell contraction [GO_BP]",0,0,0,0,0,0,1.60833178333322
"cell activation involved in immune response [GO_BP]",0,0,0,0,0,0,3.30652099476528
"cell chemotaxis [GO_BP]",0,0,1.94010043784273,0,0,0,1.6219496692204
"cell junction disassembly [GO_BP]",0,0,0,1.69045625322986,2.95634736929405,0,0
"cell killing [GO_BP]",8,1.62487633861932,1.61200972482831,0,0,0,8
"cell-cell fusion [GO_BP]",1.52596433940668,0,0,0,2.35546761481584,3.2688646748355,0
"cellular component disassembly [GO_BP]",0,0,0,0,1.50626299363184,0,3.20948919057193
"cellular component maintenance [GO_BP]",0,0,0,0,1.33017363939592,0,0
"cellular nitrogen compound catabolic process [GO_BP]",0,0,0,0,0,0,1.89156780743465
"cellular response to biotic stimulus [GO_BP]",5.55570986570293,1.50446153905162,1.47336745804945,1.48759407659098,0,0,8
"cellular response to chemokine [GO_BP]",1.38090457828793,0,0,0,0,0,0
"cellular response to dsRNA [GO_BP]",1.51340886755958,0,0,0,0,0,2.54277063417518
"cellular response to exogenous dsRNA [GO_BP]",1.76895189210162,0,0,0,0,0,1.94723789666321
"cellular response to interferon-beta [GO_BP]",8,0,0,0,0,0,8
"cellular response to interleukin-1 [GO_BP]",0,1.45026552539028,0,0,0,0,0
"cellular response to interleukin-17 [GO_BP]",0,0,0,0,0,0,1.36482107823585
"cellular response to interleukin-4 [GO_BP]",0,0,0,0,0,0,1.61818807220643
"cellular response to lipid [GO_BP]",3.59529446580244,0,0,1.71774448381105,0,0,5.31693163315842
"cellular response to lipopolysaccharide [GO_BP]",6.16971899781099,1.62487633861932,1.61200972482831,1.71774448381105,0,0,8
"cellular response to lipoprotein particle stimulus [GO_BP]",0,0,0,0,2.87085560361878,0,0
"cellular response to low-density lipoprotein particle stimulus [GO_BP]",0,0,0,0,1.72095286174281,0,0
"cellular response to molecule of bacterial origin [GO_BP]",6.00637859410199,1.60410060697066,1.58869964153092,1.69045625322986,0,0,8
"cellular response to organic cyclic compound [GO_BP]",0,0,0,0,0,0,2.44197314153473
"cellular response to organonitrogen compound [GO_BP]",0,0,0,0,0,0,2.36395841730719
"cellular response to peptide [GO_BP]",0,0,0,0,0,0,1.65917903145058
"cellular response to tumor necrosis factor [GO_BP]",0,1.81951212904845,0,0,0,0,1.96761332607666
"cellular response to type I interferon [GO_BP]",5.69515659180589,1.60778132559141,2.45156237491741,0,0,0,2.2325531551051
"cellular response to type II interferon [GO_BP]",8,2.76282535558453,2.70395869636371,0,0,0,8
"cellular response to unfolded protein [GO_BP]",0,0,0,0,0,0,1.64699416338691
"cellular response to virus [GO_BP]",0,0,0,0,0,0,5.65040874558466
"cellular senescence [GO_BP]",1.87801457032683,0,0,0,0,0,2.72186396595919
"chaperone cofactor-dependent protein refolding [GO_BP]",0,0,1.91625373569478,0,0,0,0
"chaperone-mediated protein folding [GO_BP]",0,1.56904449313524,2.39236876793722,0,0,0,0
"chemokine-mediated signaling pathway [GO_BP]",1.54365248495597,0,0,0,0,0,0
"chemotaxis [GO_BP]",0,0,1.60750956583228,0,0,0,1.3610481431578
"cholesterol efflux [GO_BP]",0,0,0,0,1.51805965963167,0,0
"coagulation [GO_BP]",0,0,0,0,0,0,1.46536116858489
"complement activation [GO_BP]",0,0,0,1.98254487942999,2.78096055717327,0,0
"complement activation, classical pathway [GO_BP]",0,0,0,1.7343431515632,3.02818706006975,0,0
"cytokine production involved in immune response [GO_BP]",2.69233547739561,2.46860722808103,2.46714179282292,0,0,0,3.14923413123694
"cytokine-mediated signaling pathway [GO_BP]",8,2.76327753106712,2.70451345131997,0,0,0,8
"cytosolic pattern recognition receptor signaling pathway [GO_BP]",6.24637257067125,0,0,0,0,0,8
"defense response to Gram-negative bacterium [GO_BP]",1.5829469870079,0,0,0,0,0,3.17356848052958
"defense response to Gram-positive bacterium [GO_BP]",6.78015861682475,3.0264976043755,2.20586072946622,0,0,0,8
"defense response to bacterium [GO_BP]",8,2.83554824816518,2.17713627341487,1.96615072624667,0,0,8
"defense response to protozoan [GO_BP]",4.05894684133391,0,0,0,0,0,6.80987181671387
"defense response to symbiont [GO_BP]",8,0,0,0,0,0,8
"defense response to virus [GO_BP]",8,0,0,0,0,0,8
"dendritic cell antigen processing and presentation [GO_BP]",1.90391855372944,0,0,0,0,0,3.39151157419201
"dendritic spine maintenance [GO_BP]",0,0,0,0,1.72095286174281,1.30346061660998,0
"deoxyribonucleotide catabolic process [GO_BP]",1.40641823941878,0,0,0,0,0,0
"deoxyribose phosphate catabolic process [GO_BP]",1.43970840503457,0,0,0,0,0,0
"disruption of anatomical structure in another organism [GO_BP]",4.51960280449832,0,0,0,0,0,3.74726106983723
"disruption of cell in another organism [GO_BP]",4.58774847096863,0,0,0,0,0,3.84819272080458
"endolysosomal toll-like receptor signaling pathway [GO_BP]",0,0,0,0,0,0,1.96911126246436
"endoplasmic reticulum calcium ion homeostasis [GO_BP]",0,0,0,0,0,0,1.83965696869259
"endoplasmic reticulum unfolded protein response [GO_BP]",0,0,0,0,0,0,1.95973811590793
"entry into host [GO_BP]",2.74268843908399,1.34901560226108,1.31923391640778,0,0,0,2.04311318065703
"erythrocyte differentiation [GO_BP]",0,0,0,0,0,0,2.12768734369188
"erythrocyte homeostasis [GO_BP]",0,0,0,0,0,0,1.94851483159491
"establishment of apical/basal cell polarity [GO_BP]",0,0,0,0,0,0,1.36482107823585
"establishment of cell polarity [GO_BP]",0,0,0,0,0,0,1.85008481107999
"establishment of epithelial cell apical/basal polarity [GO_BP]",0,0,0,0,0,0,1.57765899631303
"establishment of protein localization to organelle [GO_BP]",0,0,0,0,0,0,2.20323473138889
"establishment of protein localization to vacuole [GO_BP]",0,0,0,0,0,0,1.52957956286532
"establishment or maintenance of cell polarity [GO_BP]",0,0,0,0,0,0,1.80324046870427
"exocytosis [GO_BP]",0,0,0,0,0,0,2.04808385935218
"extrinsic apoptotic signaling pathway [GO_BP]",0,0,0,0,0,0,2.20323473138889
"fibroblast migration [GO_BP]",0,0,0,0,0,0,1.36377326197639
"fructose 6-phosphate metabolic process [GO_BP]",1.82753309301066,0,0,0,0,0,0
"glial cell activation [GO_BP]",0,0,0,0,1.50145817905078,0,2.38416520814421
"glial cell migration [GO_BP]",0,0,0,0,1.36206721619296,0,0
"gliogenesis [GO_BP]",0,0,0,1.3466169718481,0,0,1.32415678293709
"granulocyte chemotaxis [GO_BP]",2.29987434424312,1.9787501493158,2.70451345131997,0,0,0,2.07285623216815
"granulocyte differentiation [GO_BP]",0,0,0,0,0,0,1.37696968026528
"granulocyte migration [GO_BP]",1.94754611058129,1.8619602459259,2.48117911164268,0,0,0,1.60626949732882
"hematopoietic progenitor cell differentiation [GO_BP]",1.76703379859077,0,0,0,0,0,2.29102406472937
"hematopoietic stem cell proliferation [GO_BP]",3.24619615230637,0,0,0,0,0,0
"hemostasis [GO_BP]",0,0,0,0,0,0,1.45119749628635
"heterocycle catabolic process [GO_BP]",0,0,0,0,0,0,1.86463248360799
"homeostasis of number of cells [GO_BP]",0,0,0,0,0,0,2.96298250346101
"humoral immune response [GO_BP]",3.56991179061732,1.86494136950159,1.86420645238016,2.3791516239122,1.72095286174281,0,0
"humoral immune response mediated by circulating immunoglobulin [GO_BP]",0,0,0,1.46484803798383,2.87085560361878,0,0
"hypersensitivity [GO_BP]",2.56635656863114,2.11648824734462,2.14252269365884,0,0,0,3.24052841461959
"immune response-activating cell surface receptor signaling pathway [GO_BP]",0,0,0,0,0,0,1.37696968026528
"immune response-activating signaling pathway [GO_BP]",5.35960832772815,0,0,0,0,0,8
"immune response-regulating cell surface receptor signaling pathway [GO_BP]",0,0,0,0,0,0,1.31087135749147
"immune response-regulating signaling pathway [GO_BP]",5.26269861456882,0,0,0,0,0,8
"immune system development [GO_BP]",2.62765938814533,0,1.5169668646281,0,0,0,2.91612597344247
"immunoglobulin mediated immune response [GO_BP]",4.487498050728,1.87125059606266,1.87037588381952,0,1.72095286174281,0,2.70476036655624
"immunoglobulin production [GO_BP]",3.60177539666255,0,1.87230496801089,0,0,0,2.72495000164002
"immunoglobulin production involved in immunoglobulin-mediated immune response [GO_BP]",1.34013735666989,0,0,0,0,0,0
"import into nucleus [GO_BP]",0,0,0,0,0,0,2.00437688163792
"inflammasome-mediated signaling pathway [GO_BP]",4.01504113605561,0,0,0,0,0,5.65040874558466
"inflammatory response to antigenic stimulus [GO_BP]",1.42898289775628,1.5702166424146,1.54461365962182,0,0,0,2.07684440234174
"innate immune response activating cell surface receptor signaling pathway [GO_BP]",0,0,0,0,1.33017363939592,0,0
"innate immune response-activating signaling pathway [GO_BP]",5.39007408016839,0,0,0,1.43273552627307,0,8
"inorganic ion homeostasis [GO_BP]",0,0,0,0,0,0,1.80379343321638
"interferon-alpha production [GO_BP]",4.42645531345407,1.88858038813209,0,0,0,0,3.30652099476528
"interferon-beta production [GO_BP]",2.2630909239731,0,0,0,0,0,1.37696968026528
"interferon-mediated signaling pathway [GO_BP]",8,2.28388719841325,3.12656450152301,0,0,0,7.26960520261647
"interleukin-1 beta production [GO_BP]",0,0,0,0,0,0,4.16065548761366
"interleukin-1 production [GO_BP]",0,0,0,0,0,0,4.35064410099031
"interleukin-10 production [GO_BP]",0,0,0,0,1.45843903881408,0,1.58346992289022
"interleukin-12 production [GO_BP]",0,0,0,0,0,0,1.55777278755869
"interleukin-13 production [GO_BP]",2.27703899065846,1.9787501493158,1.98034213575324,0,0,0,0
"interleukin-4 production [GO_BP]",1.80801722378306,1.77576410448083,1.77275526272501,0,0,0,0
