gene,logFC,padj,scores
Vwa5a,0.29430854,1.0,1.392295
Rbm28,0.32953745,1.0,1.3893557
Atf7ip,0.20348847,1.0,1.3861363
Smad3,0.26066136,1.0,1.3837101
St7l,0.29205787,1.0,1.3836634
Ppip5k2,0.2762182,1.0,1.3804674
Pum1,0.22833622,1.0,1.3793243
Phlpp2,0.30045757,1.0,1.3784379
Rnf150,0.30178678,1.0,1.3783212
Arl5a,0.4411171,1.0,1.3766882
Lrp12,0.36019152,1.0,1.3748686
Dbnl,0.5304181,1.0,1.3745886
Ggnbp2,0.24528491,1.0,1.3705295
Tmsb10,0.9766456,1.0,1.3678
Nrp1,0.22207403,1.0,1.3670301
Ogfrl1,0.21150197,1.0,1.3642074
Dis3l2,0.24619845,1.0,1.3642074
Trim26,0.34026608,1.0,1.3624811
St3gal5,0.22121447,1.0,1.3623178
Fam129a,0.5548326,1.0,1.3615713
Wasf2,0.16619945,1.0,1.3584219
Ppm1h,0.16810654,1.0,1.3531964
Lrch3,0.2018792,1.0,1.3525199
Pcca,0.2417937,1.0,1.3516101
AW112010,2.453651,1.0,1.3509568
Brwd1,0.21222155,1.0,1.3486006
Vps13c,0.22933719,1.0,1.3485307
Smarca5,0.2685613,1.0,1.3474809
Wdr44,0.20020707,1.0,1.3457313
Fbxw11,0.23564278,1.0,1.3453813
Lacc1,0.2059424,1.0,1.3451713
Cpq,0.53999615,1.0,1.3416021
Mertk,0.03476364,1.0,1.3402491
Birc6,0.19204809,1.0,1.336913
Csf2ra,0.6573899,1.0,1.3362832
Zcchc7,0.1923694,1.0,1.3355366
Rin2,0.17373621,1.0,1.3345102
Ly6a,1.9413455,1.0,1.3318974
Sem1,0.48752138,1.0,1.3302177
Gpi1,0.64124495,1.0,1.3286548
Lmo4,0.9133082,1.0,1.3278149
Stard9,0.20136324,1.0,1.325902
Snx13,0.15865856,1.0,1.3233358
Magi1,0.16371669,1.0,1.3217028
Pnpt1,0.6626373,1.0,1.3208863
Vps13a,0.24251166,1.0,1.3197432
Spint1,0.48277667,1.0,1.3189033
Lst1,0.42622256,1.0,1.3181568
Mga,0.21203373,1.0,1.3177602
Caprin1,0.21710154,1.0,1.317597
Fbrsl1,0.25409275,1.0,1.3161505
Zfp207,0.21284068,1.0,1.3153108
Eif3a,0.25185567,1.0,1.3135611
Ube2z,0.751769,1.0,1.3123714
Phf20,0.25673875,1.0,1.3099452
Slc15a4,0.4716987,1.0,1.3094786
Arfgef1,0.19530135,1.0,1.3057461
Morc3,0.1849666,1.0,1.304043
Smox,0.31035623,1.0,1.3001239
Cep350,0.1985461,1.0,1.2999372
Rpn1,0.34594876,1.0,1.2952949
Armc8,0.30161664,1.0,1.2951316
Lrp5,0.25243944,1.0,1.2935919
Pdgfb,0.21444316,1.0,1.2908624
Map4k3,0.1879741,1.0,1.2884829
Lrrfip1,0.26490968,1.0,1.2869899
Gm40841,0.25373766,1.0,1.2863134
Il10rb,0.2831917,1.0,1.2844704
Ccl5,2.1582906,1.0,1.2812977
Numa1,0.25367224,1.0,1.2786382
Primpol,0.28751603,1.0,1.2780317
St5,0.41009343,1.0,1.2778684
Csf2rb,0.43242377,1.0,1.2777052
Mysm1,0.23236649,1.0,1.2771686
Cdc73,0.25264364,1.0,1.2753956
Acadsb,0.38658667,1.0,1.2751623
Mtch1,0.43569326,1.0,1.2748824
Esr1,0.5894338,1.0,1.2740192
Caap1,0.35346287,1.0,1.2724096
Cdk13,0.189528,1.0,1.2722696
Vipas39,0.8431191,1.0,1.2711965
Exoc4,0.1462326,1.0,1.2706366
Atp6ap1,0.3623635,1.0,1.26996
Sh3bp2,0.33171487,1.0,1.2699367
Mpp7,0.52432406,1.0,1.268187
Zc3hav1,0.29699257,1.0,1.2673472
Gm43462,0.48391265,1.0,1.2637314
Cbfb,0.21302943,1.0,1.2625415
Gpat4,0.96883994,1.0,1.2619817
Peak1,0.20594598,1.0,1.2619117
Pot1b,0.22387487,1.0,1.2617251
Uba7,0.579289,1.0,1.2613052
Kif16b,0.27435434,1.0,1.2597421
Dexi,0.7810674,1.0,1.2594855
Ankle2,0.2709653,1.0,1.2570593
Lpp,0.19748957,1.0,1.256966
Trafd1,0.30275235,1.0,1.2546332
Csnk1e,0.2198058,1.0,1.2542833
Dse,0.51816416,1.0,1.2514606
Fam172a,0.12972257,1.0,1.2503874
Gspt1,0.2159085,1.0,1.2500142
Zfp106,0.2556657,1.0,1.2468648
Pigk,0.33056355,1.0,1.2424557
Cblb,0.28433672,1.0,1.2420125
Pts,0.40339985,1.0,1.2400296
Wipf1,0.18277772,1.0,1.2382332
Casc3,0.27836543,1.0,1.2382332
Mindy2,0.240944,1.0,1.23786
Dennd5a,0.19862148,1.0,1.2372768
Zfp472,1.1157857,1.0,1.2372301
Il21r,0.26962218,1.0,1.2365535
Daam1,0.44410184,1.0,1.2354105
Dnajc24,0.45833924,1.0,1.2333575
Trim12c,0.51581556,1.0,1.2308847
mt-Nd1,0.01943431,1.0,1.2290184
Stard3nl,0.33407888,1.0,1.2287852
Cwf19l2,0.19890195,1.0,1.2248893
Traf3,0.40092185,1.0,1.2225565
Zc3h6,0.6439325,1.0,1.2218332
Nedd4l,0.19074185,1.0,1.2208301
Hnrnpf,0.31047434,1.0,1.2198503
Faf1,0.19040805,1.0,1.2196637
Casp8,0.19333969,1.0,1.2171909
Ccar1,0.22306143,1.0,1.214578
Smc5,0.35025507,1.0,1.2136682
Creb3l2,0.29661936,1.0,1.212805
Trit1,0.36263898,1.0,1.2102389
Sirpa,0.09468308,1.0,1.2097024
Smad2,0.2339916,1.0,1.2093525
Adar,0.49765608,1.0,1.2090958
Cnot4,0.17850305,1.0,1.2084427
Arhgap27,0.4045649,1.0,1.2061565
Hk3,0.36144757,1.0,1.2058998
Rprd1b,0.376647,1.0,1.20513
H2-Q6,3.2171402,1.0,1.2046402
Clcn6,1.1444548,1.0,1.2039403
Anapc16,0.2980511,1.0,1.2031704
March1,0.19271493,1.0,1.2025405
Tmem175,0.4159279,1.0,1.2007675
Myo9b,0.22944362,1.0,1.1979215
2010315B03Rik,0.37558424,1.0,1.1971749
Sowahc,0.43081483,1.0,1.1957285
Glul,0.15515225,1.0,1.1948421
Bckdhb,0.3074564,1.0,1.1946788
Sh3glb1,0.175983,1.0,1.1939557
Gm2629,0.1847217,1.0,1.1919727
Tab2,0.17770258,1.0,1.1913195
Tmem68,0.25823423,1.0,1.190153
Wwc2,0.27651933,1.0,1.1884967
AW554918,0.19864984,1.0,1.1879369
B3gnt2,0.33922622,1.0,1.1820813
Cyld,0.19994184,1.0,1.1820114
Dyrk1a,0.17325632,1.0,1.180915
Rnf20,0.39336473,1.0,1.180915
Wdr43,0.28337285,1.0,1.180495
Atp6v0a2,0.20823933,1.0,1.1781389
Iars2,0.3706219,1.0,1.1778122
Usp14,0.39151618,1.0,1.1774623
BC005537,0.20949583,1.0,1.175946
Csnk1g3,0.2558395,1.0,1.175456
Mospd2,0.43653643,1.0,1.1742663
Ccdc50,0.18217005,1.0,1.174243
Dhx30,0.36347538,1.0,1.1724933
Smyd3,0.15498532,1.0,1.1719568
Zfp292,0.16967322,1.0,1.1709304
Nav2,0.019694103,1.0,1.1704404
5530601H04Rik,0.60066545,1.0,1.1702538
Herc1,0.1679132,1.0,1.1697639
Vps13d,0.1899745,1.0,1.169624
Eef1g,0.37909776,1.0,1.1671977
Slc38a7,0.5936327,1.0,1.1668012
Pik3cd,0.18999888,1.0,1.1661947
