"ROI","CellState","Score","antigen"
"DSP-1001660019915-A-B08.dcc","IEG-High Microglia",-0.132227219648156,"negative"
"DSP-1001660019915-A-B09.dcc","IEG-High Microglia",-0.0508452352330079,"negative"
"DSP-1001660019915-A-B10.dcc","IEG-High Microglia",-0.107876915280524,"negative"
"DSP-1001660019915-A-B11.dcc","IEG-High Microglia",-0.182706048406327,"negative"
"DSP-1001660019915-A-B12.dcc","IEG-High Microglia",0.37180301179832,"negative"
"DSP-1001660019915-A-C01.dcc","IEG-High Microglia",0.0909305465058415,"negative"
"DSP-1001660019915-A-C02.dcc","IEG-High Microglia",0.426474140582987,"negative"
"DSP-1001660019915-A-C03.dcc","IEG-High Microglia",-0.338556574276806,"negative"
"DSP-1001660019915-A-C04.dcc","IEG-High Microglia",-0.633507287530804,"negative"
"DSP-1001660019915-A-C05.dcc","IEG-High Microglia",-0.440688201335967,"negative"
"DSP-1001660019915-A-C07.dcc","IEG-High Microglia",0.244215205585608,"negative"
"DSP-1001660019915-A-C08.dcc","IEG-High Microglia",-0.326194462118024,"negative"
"DSP-1001660019915-A-C09.dcc","IEG-High Microglia",0.227303579119165,"negative"
"DSP-1001660019915-A-C10.dcc","IEG-High Microglia",-0.513324729562518,"negative"
"DSP-1001660019915-A-C11.dcc","IEG-High Microglia",-0.386869555090694,"negative"
"DSP-1001660019915-A-C12.dcc","IEG-High Microglia",0.0860958982353008,"negative"
"DSP-1001660019915-A-D02.dcc","IEG-High Microglia",0.0395182143709886,"negative"
"DSP-1001660019915-A-D03.dcc","IEG-High Microglia",-0.326550842601118,"negative"
"DSP-1001660019915-A-D04.dcc","IEG-High Microglia",-0.406311675293056,"negative"
"DSP-1001660019915-A-D05.dcc","IEG-High Microglia",-0.12045468393507,"negative"
"DSP-1001660019915-A-D06.dcc","IEG-High Microglia",-0.277159232321796,"negative"
"DSP-1001660019915-A-D07.dcc","IEG-High Microglia",-0.201576802931859,"negative"
"DSP-1001660019915-A-D08.dcc","IEG-High Microglia",-0.218585751358284,"negative"
"DSP-1001660019915-A-D11.dcc","IEG-High Microglia",0.0853098623728093,"negative"
"DSP-1001660019915-A-D12.dcc","IEG-High Microglia",0.0711358263850874,"negative"
"DSP-1001660019915-A-A02.dcc","Infiltrating Macrophages",-0.0285990917873649,"positive"
"DSP-1001660019915-A-A03.dcc","Infiltrating Macrophages",0.0371657297525127,"positive"
"DSP-1001660019915-A-A04.dcc","Infiltrating Macrophages",-0.251288343277489,"positive"
"DSP-1001660019915-A-A05.dcc","Infiltrating Macrophages",0.0115801265141615,"positive"
"DSP-1001660019915-A-A06.dcc","Infiltrating Macrophages",0.137290761478961,"negative"
"DSP-1001660019915-A-A07.dcc","Infiltrating Macrophages",0.336317440763944,"negative"
"DSP-1001660019915-A-A08.dcc","Infiltrating Macrophages",0.108307946321793,"negative"
