"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.9059765727221e-28,0.427440004865426,0.995,0.997,5.2304672332425e-24,"Mitochondrial-Activated Microglia","Cst3"
1.96861376957566e-06,0.374831974172409,0.698,0.757,0.0354330792385923,"Mitochondrial-Activated Microglia","Psap"
1.44502567522369e-13,0.343859879769813,0.923,0.948,2.60090171283512e-09,"Mitochondrial-Activated Microglia","C1qa"
6.28591135113433e-09,0.321556593503138,0.855,0.912,0.000113140118409067,"Mitochondrial-Activated Microglia","C1qb"
3.70131453318756e-87,2.89405763212034,0.141,0.018,6.66199602828428e-83,"IFN-Responsive Microglia","Usp18"
4.43094366850569e-192,2.65238399164892,0.541,0.145,7.97525550894339e-188,"IFN-Responsive Microglia","Ccl12"
3.3381537278416e-150,2.65077558128492,0.245,0.031,6.00834289474209e-146,"IFN-Responsive Microglia","Oasl2"
0,2.58376134364346,0.676,0.125,0,"IFN-Responsive Microglia","Nlrc5"
4.58236517265166e-178,2.58262843516131,0.319,0.047,8.24779907425573e-174,"IFN-Responsive Microglia","Gbp2"
3.03131592927195e-117,2.55730780199935,0.26,0.048,5.45606554109658e-113,"IFN-Responsive Microglia","Gbp5"
1.65660825043568e-269,2.36493402936237,0.725,0.209,2.98172918995917e-265,"IFN-Responsive Microglia","Rnf213"
9.73708823587334e-109,2.36002167938017,0.208,0.032,1.75257851157484e-104,"IFN-Responsive Microglia","Iigp1"
1.07849739666743e-63,2.22033357967137,0.124,0.02,1.94118746426171e-59,"IFN-Responsive Microglia","Zbp1"
6.1960234870356e-49,2.20869176807527,0.103,0.018,1.11522226743154e-44,"IFN-Responsive Microglia","Ifit2"
2.47398099905908e-107,2.19528912900874,0.201,0.03,4.45291840020643e-103,"IFN-Responsive Microglia","Slfn5"
1.90124600018616e-69,2.13074371198358,0.172,0.035,3.42205267573506e-65,"IFN-Responsive Microglia","Rtp4"
2.89541044316749e-163,2.08556998325234,0.426,0.095,5.21144925665717e-159,"IFN-Responsive Microglia","Sp100"
